id,jurisdiction,label,slot,verdict,basis,has_span,has_cite
0164bb37c17a9d085894,OMN,C4,addressee,covered,direct_textual,0,1
0164bb37c17a9d085894,OMN,C4,modality,covered,direct_textual,0,1
0164bb37c17a9d085894,OMN,C4,action,covered,direct_textual,0,1
0164bb37c17a9d085894,OMN,C4,scope,broader,direct_textual,0,1
0164bb37c17a9d085894,OMN,C4,condition,covered,absent,0,0
0164bb37c17a9d085894,OMN,C4,exception,uncovered,absent,0,0
0164bb37c17a9d085894,OMN,C4,temporal,covered,absent,0,0
0164bb37c17a9d085894,OMN,C4,consequence,covered,absent,0,0
b8882ada569e7edf1561,KSA,C3,addressee,broader,direct_textual,0,1
b8882ada569e7edf1561,KSA,C3,modality,weaker_modality,distributed,0,1
b8882ada569e7edf1561,KSA,C3,action,covered,direct_textual,0,1
b8882ada569e7edf1561,KSA,C3,scope,covered,direct_textual,0,1
b8882ada569e7edf1561,KSA,C3,condition,uncovered,absent,0,0
b8882ada569e7edf1561,KSA,C3,exception,covered,absent,0,0
b8882ada569e7edf1561,KSA,C3,temporal,covered,absent,0,0
b8882ada569e7edf1561,KSA,C3,consequence,covered,absent,0,0
f40836788d78d53535cf,BHR,C1,addressee,covered,direct_textual,1,1
f40836788d78d53535cf,BHR,C1,modality,covered,direct_textual,1,1
f40836788d78d53535cf,BHR,C1,action,covered,distributed,1,1
f40836788d78d53535cf,BHR,C1,scope,covered,conceptual,1,1
f40836788d78d53535cf,BHR,C1,condition,broader,distributed,0,1
f40836788d78d53535cf,BHR,C1,exception,covered,absent,0,0
f40836788d78d53535cf,BHR,C1,temporal,covered,absent,0,0
f40836788d78d53535cf,BHR,C1,consequence,covered,absent,0,0
dd5b36eca20502691102,KSA,C1,addressee,covered,direct_textual,0,1
dd5b36eca20502691102,KSA,C1,modality,covered,direct_textual,0,1
dd5b36eca20502691102,KSA,C1,action,covered,direct_textual,0,1
dd5b36eca20502691102,KSA,C1,scope,covered,conceptual,0,1
dd5b36eca20502691102,KSA,C1,condition,broader,conceptual,0,1
dd5b36eca20502691102,KSA,C1,exception,narrower,direct_textual,0,1
dd5b36eca20502691102,KSA,C1,temporal,covered,absent,0,0
dd5b36eca20502691102,KSA,C1,consequence,covered,absent,0,0
4cd74bd62a9a0561087f,UAE,C2,addressee,covered,direct_textual,0,1
4cd74bd62a9a0561087f,UAE,C2,modality,partial,direct_textual,0,1
4cd74bd62a9a0561087f,UAE,C2,action,partial,conceptual,0,1
4cd74bd62a9a0561087f,UAE,C2,scope,uncovered,absent,0,0
4cd74bd62a9a0561087f,UAE,C2,condition,uncovered,absent,0,0
4cd74bd62a9a0561087f,UAE,C2,exception,uncovered,absent,0,0
4cd74bd62a9a0561087f,UAE,C2,temporal,uncovered,absent,0,0
4cd74bd62a9a0561087f,UAE,C2,consequence,uncovered,absent,0,0
ec22633f3353815ee766,OMN,C2,addressee,covered,direct_textual,0,1
ec22633f3353815ee766,OMN,C2,modality,uncovered,absent,0,1
ec22633f3353815ee766,OMN,C2,action,uncovered,conceptual,0,1
ec22633f3353815ee766,OMN,C2,scope,uncovered,absent,0,1
ec22633f3353815ee766,OMN,C2,condition,covered,absent,0,0
ec22633f3353815ee766,OMN,C2,exception,covered,absent,0,0
ec22633f3353815ee766,OMN,C2,temporal,covered,absent,0,0
ec22633f3353815ee766,OMN,C2,consequence,covered,absent,0,0
5e7e89c6332bfced8bb1,OMN,C1,addressee,covered,direct_textual,0,1
5e7e89c6332bfced8bb1,OMN,C1,modality,covered,direct_textual,0,1
5e7e89c6332bfced8bb1,OMN,C1,action,covered,direct_textual,0,1
5e7e89c6332bfced8bb1,OMN,C1,scope,covered,direct_textual,0,1
5e7e89c6332bfced8bb1,OMN,C1,condition,broader,direct_textual,0,1
5e7e89c6332bfced8bb1,OMN,C1,exception,covered,absent,0,0
5e7e89c6332bfced8bb1,OMN,C1,temporal,covered,absent,0,0
5e7e89c6332bfced8bb1,OMN,C1,consequence,covered,absent,0,0
bab8d4d81f960934d218,UAE,C1,addressee,covered,direct_textual,1,1
bab8d4d81f960934d218,UAE,C1,modality,covered,direct_textual,1,1
bab8d4d81f960934d218,UAE,C1,action,covered,direct_textual,1,1
bab8d4d81f960934d218,UAE,C1,scope,covered,direct_textual,1,1
bab8d4d81f960934d218,UAE,C1,condition,covered,direct_textual,1,1
bab8d4d81f960934d218,UAE,C1,exception,covered,absent,0,0
bab8d4d81f960934d218,UAE,C1,temporal,covered,absent,0,0
bab8d4d81f960934d218,UAE,C1,consequence,covered,absent,0,0
2af1e2159e186df02a99,KSA,C2,addressee,covered,direct_textual,0,1
2af1e2159e186df02a99,KSA,C2,modality,covered,direct_textual,0,1
2af1e2159e186df02a99,KSA,C2,action,partial,distributed,0,1
2af1e2159e186df02a99,KSA,C2,scope,partial,conceptual,0,1
2af1e2159e186df02a99,KSA,C2,condition,partial,conceptual,0,1
2af1e2159e186df02a99,KSA,C2,exception,covered,absent,0,0
2af1e2159e186df02a99,KSA,C2,temporal,covered,absent,0,0
2af1e2159e186df02a99,KSA,C2,consequence,covered,absent,0,0
71ed8962f9f5633295d4,KWT,C2,addressee,covered,conceptual,0,1
71ed8962f9f5633295d4,KWT,C2,modality,covered,direct_textual,0,1
71ed8962f9f5633295d4,KWT,C2,action,partial,distributed,0,1
71ed8962f9f5633295d4,KWT,C2,scope,uncovered,absent,0,0
71ed8962f9f5633295d4,KWT,C2,condition,uncovered,absent,0,0
71ed8962f9f5633295d4,KWT,C2,exception,covered,absent,0,0
71ed8962f9f5633295d4,KWT,C2,temporal,narrower,direct_textual,0,1
71ed8962f9f5633295d4,KWT,C2,consequence,covered,absent,0,0
f58455685866afb3a4ce,BHR,C2,addressee,covered,direct_textual,0,1
f58455685866afb3a4ce,BHR,C2,modality,covered,direct_textual,0,1
f58455685866afb3a4ce,BHR,C2,action,partial,direct_textual,0,1
f58455685866afb3a4ce,BHR,C2,scope,partial,direct_textual,0,1
f58455685866afb3a4ce,BHR,C2,condition,partial,distributed,0,1
f58455685866afb3a4ce,BHR,C2,exception,uncovered,absent,0,1
f58455685866afb3a4ce,BHR,C2,temporal,broader,direct_textual,0,1
f58455685866afb3a4ce,BHR,C2,consequence,covered,absent,0,1
7358621cf3c78309b723,KSA,C2,addressee,covered,direct_textual,1,1
7358621cf3c78309b723,KSA,C2,modality,partial,conceptual,1,1
7358621cf3c78309b723,KSA,C2,action,partial,distributed,1,1
7358621cf3c78309b723,KSA,C2,scope,covered,absent,0,0
7358621cf3c78309b723,KSA,C2,condition,narrower,direct_textual,1,1
7358621cf3c78309b723,KSA,C2,exception,covered,absent,0,0
7358621cf3c78309b723,KSA,C2,temporal,covered,absent,0,0
7358621cf3c78309b723,KSA,C2,consequence,covered,absent,0,0
1832d1ba1bc25345006c,QAT,C4,addressee,uncovered,absent,0,0
1832d1ba1bc25345006c,QAT,C4,modality,covered,direct_textual,0,1
1832d1ba1bc25345006c,QAT,C4,action,partial,distributed,0,1
1832d1ba1bc25345006c,QAT,C4,scope,broader,direct_textual,0,1
1832d1ba1bc25345006c,QAT,C4,condition,partial,direct_textual,0,1
1832d1ba1bc25345006c,QAT,C4,exception,covered,absent,0,0
1832d1ba1bc25345006c,QAT,C4,temporal,covered,absent,0,0
1832d1ba1bc25345006c,QAT,C4,consequence,covered,absent,0,0
c5347556240bfaa8c678,BHR,C5,addressee,uncovered,absent,0,0
c5347556240bfaa8c678,BHR,C5,modality,uncovered,absent,0,0
c5347556240bfaa8c678,BHR,C5,action,uncovered,absent,0,0
c5347556240bfaa8c678,BHR,C5,scope,uncovered,absent,0,0
c5347556240bfaa8c678,BHR,C5,condition,uncovered,absent,0,0
c5347556240bfaa8c678,BHR,C5,exception,uncovered,absent,0,0
c5347556240bfaa8c678,BHR,C5,temporal,uncovered,absent,0,0
c5347556240bfaa8c678,BHR,C5,consequence,uncovered,absent,0,0
b9174359b22d64b8ae3e,UAE,C2,addressee,covered,direct_textual,0,1
b9174359b22d64b8ae3e,UAE,C2,modality,uncovered,absent,0,0
b9174359b22d64b8ae3e,UAE,C2,action,uncovered,absent,0,0
b9174359b22d64b8ae3e,UAE,C2,scope,uncovered,absent,0,0
b9174359b22d64b8ae3e,UAE,C2,condition,covered,absent,0,0
b9174359b22d64b8ae3e,UAE,C2,exception,partial,conceptual,0,1
b9174359b22d64b8ae3e,UAE,C2,temporal,covered,absent,0,0
b9174359b22d64b8ae3e,UAE,C2,consequence,covered,absent,0,0
f62a9a6046310d718053,UAE,C2,addressee,covered,direct_textual,1,1
f62a9a6046310d718053,UAE,C2,modality,uncovered,absent,0,0
f62a9a6046310d718053,UAE,C2,action,uncovered,absent,0,0
f62a9a6046310d718053,UAE,C2,scope,covered,direct_textual,1,1
f62a9a6046310d718053,UAE,C2,condition,uncovered,absent,0,0
f62a9a6046310d718053,UAE,C2,exception,covered,absent,0,0
f62a9a6046310d718053,UAE,C2,temporal,uncovered,direct_textual,1,1
f62a9a6046310d718053,UAE,C2,consequence,covered,absent,0,0
e8248200742063a6df00,KWT,C4,addressee,narrower,direct_textual,0,1
e8248200742063a6df00,KWT,C4,modality,covered,direct_textual,0,1
e8248200742063a6df00,KWT,C4,action,covered,distributed,0,1
e8248200742063a6df00,KWT,C4,scope,partial,distributed,0,1
e8248200742063a6df00,KWT,C4,condition,covered,absent,0,0
e8248200742063a6df00,KWT,C4,exception,narrower,direct_textual,0,1
e8248200742063a6df00,KWT,C4,temporal,broader,direct_textual,0,1
e8248200742063a6df00,KWT,C4,consequence,covered,absent,0,0
d8dba619806d432615f8,KWT,C4,addressee,covered,conceptual,0,1
d8dba619806d432615f8,KWT,C4,modality,covered,direct_textual,0,1
d8dba619806d432615f8,KWT,C4,action,partial,distributed,0,1
d8dba619806d432615f8,KWT,C4,scope,narrower,distributed,0,1
d8dba619806d432615f8,KWT,C4,condition,covered,absent,0,0
d8dba619806d432615f8,KWT,C4,exception,covered,absent,0,0
d8dba619806d432615f8,KWT,C4,temporal,narrower,direct_textual,0,1
d8dba619806d432615f8,KWT,C4,consequence,covered,absent,0,0
3d09fa140687123c79d6,OMN,C2,addressee,covered,direct_textual,0,1
3d09fa140687123c79d6,OMN,C2,modality,covered,direct_textual,0,1
3d09fa140687123c79d6,OMN,C2,action,covered,distributed,0,1
3d09fa140687123c79d6,OMN,C2,scope,covered,absent,0,0
3d09fa140687123c79d6,OMN,C2,condition,broader,direct_textual,0,1
3d09fa140687123c79d6,OMN,C2,exception,uncovered,absent,0,0
3d09fa140687123c79d6,OMN,C2,temporal,covered,direct_textual,0,1
3d09fa140687123c79d6,OMN,C2,consequence,covered,absent,0,0
ffcf721047741fa9d838,BHR,C2,addressee,covered,direct_textual,1,1
ffcf721047741fa9d838,BHR,C2,modality,covered,direct_textual,1,1
ffcf721047741fa9d838,BHR,C2,action,covered,distributed,1,1
ffcf721047741fa9d838,BHR,C2,scope,covered,direct_textual,1,1
ffcf721047741fa9d838,BHR,C2,condition,covered,direct_textual,1,1
ffcf721047741fa9d838,BHR,C2,exception,partial,direct_textual,1,1
ffcf721047741fa9d838,BHR,C2,temporal,broader,direct_textual,1,1
ffcf721047741fa9d838,BHR,C2,consequence,covered,absent,1,0
7fcba829a92b2ae5621e,OMN,C4,addressee,covered,direct_textual,1,1
7fcba829a92b2ae5621e,OMN,C4,modality,covered,direct_textual,1,1
7fcba829a92b2ae5621e,OMN,C4,action,covered,direct_textual,1,1
7fcba829a92b2ae5621e,OMN,C4,scope,broader,direct_textual,1,1
7fcba829a92b2ae5621e,OMN,C4,condition,broader,absent,0,0
7fcba829a92b2ae5621e,OMN,C4,exception,broader,absent,0,0
7fcba829a92b2ae5621e,OMN,C4,temporal,broader,direct_textual,1,1
7fcba829a92b2ae5621e,OMN,C4,consequence,covered,absent,0,0
